Year,Event
1989,World Wide Web proposed
1991,First website launched (info.cern.ch.) 
1993,HTML invented
1993,First graphical web browser (Mosaic) released
1994,Netscape Navigator launched
1995,JavaScript introduced
1995,HTML 2.0 released
1995,PHP released
1995,MySQL released
1995,Internet Explorer released
1996,CSS released
1996,Active Server Pages (ASP) released
1996,PostgreSQL released
1996,Flash introduced
1997,DHTML introduced
1997,HTML 4.0 released
1998,XML released
1999,AJAX appeared
1999,Jakarta Server Pages released
