Year,Name,Owner
2000,Join Java,G Stewart von Itzstein
2000,DarkBASIC,The Game Creators
2000,C#,"Anders Hejlsberg, Microsoft (ECMA)"
2001,Joy,Manfred von Thun
2001,AspectJ,"Gregor Kiczales, Xerox PARC"
2001,D,"Walter Bright, Digital Mars"
2001,Processing,Casey Reas and Benjamin Fry
2001,Visual Basic .NET,Microsoft
2001,GDScript (GDS),"Juan Linietsky, Ariel Manzur (OKAM Studio)"
2001,Shakespeare Programming Language,"Jon Åslund, Karl Hasselström"
2002,Io,Steve Dekorte
2002,Gosu,Guidewire Software
2002,Scratch,"Mitchel Resnick, John Maloney, Natalie Rusk, Evelyn Eastmond, Tammy Stern, Amon Millner, Jay Silver, and Brian Silverman"
2003,Nix,Eelco Dolstra
2003,Nemerle,University of Wrocław
2003,Factor,Slava Pestov
2003,Scala,Martin Odersky
2003,C++03,C++ ISO/IEC 14882:2003
2003,Squirrel,Alberto Demichelis
2003,Boo,Rodrigo B. de Oliveira
2004,Subtext,Jonathan Edwards
2004,Alma-0,"Krzysztof Apt, Centrum Wiskunde & Informatica"
2004,FreeBASIC,Andre Victor
2004,Groovy,James Strachan
2004,Little b,"Aneil Mallavarapu, Harvard Medical School, Department of Systems Biology"
2005,Fantom,"Brian Frank, Andy Frank"
2005,F#,"Don Syme, Microsoft Research"
2005,Haxe,Nicolas Cannasse
2005,Oxygene,RemObjects Software
2005,PWCT,Mahmoud Samir Fayed
2005,Seed7,Thomas Mertes
2005,fish,Thomas Mertes
2006,Cobra,Chuck Esterbrook
2006,Windows PowerShell,Microsoft
2006,OptimJ,Ateji
2006,Fortress,Guy L. Steele Jr.
2006,Vala,GNOME
2007,Ada 2005,Ada Rapporteur Group
2007,Agda,Ulf Norell
2007,QB64,"Galleon, QB64Team"
2007,Clojure,Rich Hickey
2007,LOLCODE,Adam Lindsay
2007,Oberon-07,Wirth
2007,Swift (parallel scripting language),"University of Chicago, Argonne National Laboratory"
2008,Nim,Andreas Rumpf
2008,Genie,Jamie McCracken
2008,Pure,Albert Gräf
2009,Chapel,"Brad Chamberlain, Cray Inc."
2009,Go,Google
2009,CoffeeScript,Jeremy Ashkenas
2009,Idris,Edwin Brady
2009,Parasail,"S. Tucker Taft, AdaCore"
2009,Whiley,David J. Pearce
2009,Dafny,K. Rustan M. Leino
